"ID","Nombre","Espacio","Región","Etapa","Origen","Nivel requerido","Rareza","Precio base","Clase recomendada","Estadísticas","Efecto / descripción"
"amuleto_vida","Amuleto de Vida","Accesorio","Región Verde","Campamento","Tienda","1","Común","14","Todas","+2 Vida","+2 Vida máxima. Pulsa con energía vital."
"anillo_fuerza","Anillo de Fuerza","Accesorio","Región Verde","Campamento","Tienda","1","Común","14","Todas","+1 ATK","+1 ATK físico. Pieza básica del campamento."
"capa_resistencia","Capa de Resistencia","Accesorio","Región Verde","Campamento","Tienda","1","Común","14","Todas","+1 Def. Física","+1 Def. Física. Tela resistente al daño."
"knife_bramble","Cuchillos de Zarza","Arma","Región Verde","Campamento","Tienda","1","Común","14","Pícaro","+1 Precisión · +3% crít","Filos cortos usados por exploradores del campamento."
"sword_thorn","Espada de Espinas","Arma","Región Verde","Campamento","Tienda","1","Común","14","Guerrero","+1 ATK","Hoja sencilla del Campamento del Umbral."
"sword_rusty","Espada Oxidada","Arma","Región Verde","Campamento","Loot de mobs","1","Común","0","Guerrero","+1 ATK","Botín deteriorado, todavía funcional."
"wand_sapling","Vara de Retoño","Arma","Región Verde","Campamento","Tienda","1","Común","14","Mago","+1 Poder Arcano · +1 Energía","Rama viva preparada para canalizar magia menor."
"vest_scout","Chaleco del Explorador","Armadura","Región Verde","Campamento","Tienda","1","Común","14","Pícaro","+1 Def. Física · +1 mov","Protección ligera para moverse entre raíces."
"armor_leaf","Coraza de Hojas","Armadura","Región Verde","Campamento","Tienda","1","Común","14","Guerrero","+1 Def. Física · +3 Vida","Protección básica del Campamento del Umbral."
"armor_adventurer","Ropa de Aventurero Dañada","Armadura","Región Verde","Campamento","Loot de mobs","1","Común","0","Todas","+1 Def. Física · +5 Vida","Botín usado, útil al comienzo."
"robe_sprout","Túnica de Retoños","Armadura","Región Verde","Campamento","Tienda","1","Común","14","Mago","+1 Def. Mágica · +2 Energía","Tejido tratado por la herbolaria del campamento."
"amulet_vitality","Amuleto de Vitalidad","Accesorio","Región Verde","Pueblo","Tienda","4","Poco común","40","Todas","+6 Vida","+6 Vida máxima."
"ring_warrior","Anillo del Impulso","Accesorio","Región Verde","Pueblo","Tienda","4","Poco común","40","Todas","+3 Energía","+3 Energía máxima."
"crystal_arcane","Cristal Arcano Menor","Accesorio","Región Verde","Pueblo","Tienda","4","Poco común","42","Todas","+1 Poder Arcano · +2 Energía","+1 Poder Arcano y +2 Energía."
"talisman_wolf","Talismán del Lobo Salvaje","Accesorio","Región Verde","Pueblo","Loot de mobs","4","Raro","0","Todas","+5% crít","+5% crítico. Solo se obtiene como botín."
"bow_hawthorn","Arco de Espino","Arma","Región Verde","Pueblo","Tienda","4","Poco común","42","Pícaro","+2 Precisión · +5% prec","Arco ligero para patrullar senderos estrechos."
"staff_apprentice","Bastón Abandonado del Aprendiz","Arma","Región Verde","Pueblo","Loot de mobs","4","Poco común","0","Mago","+1 Poder Arcano · +3 Energía","Conserva residuos de magia natural."
"staff_hazel","Bastón de Avellano","Arma","Región Verde","Pueblo","Tienda","4","Poco común","40","Mago","+1 Poder Arcano · +3 Energía","Madera flexible elegida por los estudiosos de Robledal."
"sword_explorer","Espada del Explorador","Arma","Región Verde","Pueblo","Tienda","4","Poco común","38","Guerrero","+2 ATK","+5% EXP"
